This csv file provides a template for the user to enter in data on the risk of progression from one disease state (Transition Matrix) to another as well as the effects of a disease on anther disease (Association Array),,,,,,,,,
Disease Number,1,,,,,,,,
Disease Name,HIV,,,,,,,,
Number of Disease States (including healthy and dead):,8,,,,,,,,
Transition Matrix,uninfected,acute,>500,350-500,200-350,50-200,50,died,check
uninfected,0.790,0.100,0.100,0.000,0.000,0.000,0.000,0.010,1
acute,0.000,0.790,0.100,0.100,0.000,0.000,0.000,0.010,1
>500,0.000,0.000,0.890,0.100,0.000,0.000,0.000,0.010,1
350-500,0.000,0.000,0.000,0.780,0.100,0.100,0.000,0.020,1
200-350,0.000,0.000,0.000,0.000,0.760,0.100,0.100,0.040,1
50-200,0.000,0.000,0.000,0.000,0.000,0.700,0.200,0.100,1
50,0.000,0.000,0.000,0.000,0.000,0.000,0.700,0.300,1
died,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1
Association Array,,,,,,,,,
Disease Number Affected:,2,,,,,,,,
Number of Disease States in Affected Disease:,5.000,,,,,,,,
Modifying Disease State Name,,,,,,,,,
uninfected,TB State,uninfected,latent,active,disseminated,died,,,
,uninfected,1,1,1,1,1,,,
,latent,1,1,1,1,1,,,
,active,1,1,1,1,1,,,
,disseminated,1,1,1,1,1,,,
,died,1,1,1,1,1,,,
acute,TB State,uninfected,latent,active,disseminated,died,,,
,uninfected,1,1,1,1,1,,,
,latent,1,1,1,1,1,,,
,active,1,1,1,1,1,,,
,disseminated,1,1,1,1,1,,,
,died,1,1,1,1,1,,,
>500,TB State,uninfected,latent,active,disseminated,died,,,
,uninfected,1,1,1,1,1,,,
,latent,1,1,1,1,1,,,
,active,1,1,1,1,1,,,
,disseminated,1,1,1,1,1,,,
,died,1,1,1,1,1,,,
350-500,TB State,uninfected,latent,active,disseminated,died,,,
,uninfected,1,1,1,1,1,,,
,latent,1,1,1,1,1,,,
,active,1,1,1,1,1,,,
,disseminated,1,1,1,1,1,,,
,died,1,1,1,1,1,,,
200-350,TB State,uninfected,latent,active,disseminated,died,,,
,uninfected,1,1,1,1,1,,,
,latent,1,1,1,1,1,,,
,active,1,1,1,1,1,,,
,disseminated,1,1,1,1,1,,,
,died,1,1,1,1,1,,,
50-200,TB State,uninfected,latent,active,disseminated,died,,,
,uninfected,1,1,1,1,1,,,
,latent,1,1,1,1,1,,,
,active,1,1,1,1,1,,,
,disseminated,1,1,1,1,1,,,
,died,1,1,1,1,1,,,
<50,TB State,uninfected,latent,active,disseminated,died,,,
,uninfected,1,1,1,1,1,,,
,latent,1,1,1,1,1,,,
,active,1,1,1,1,1,,,
,disseminated,1,1,1,1,1,,,
,died,1,1,1,1,1,,,
dies,TB State,uninfected,latent,active,disseminated,died,,,
,uninfected,1,1,1,1,1,,,
,latent,1,1,1,1,1,,,
,active,1,1,1,1,1,,,
,disseminated,1,1,1,1,1,,,
,died,1,1,1,1,1,,,
