This csv file provides a template for the user to enter in data on the effects of an intervention.,,,,,,,,
Intevention Number,1,,,,,,,
Intervention Name,ART,,,,,,,
Association Array,,,,,,,,
Disease Number Affected:,1,,,,,,,
Number of Disease States in Affected Disease:,8.000,,,,,,,
Modifying Disease State Name,HIV,,,,,,,
HIV State,uninfected,acute,>500,350-500,200-350,50-200,50,died
uninfected,1,1,1,1,1,1,1,1
acute,1,1,1,1,1,1,1,1
>500,1,1,1,1,1,1,1,1
350-500,1,1,1,1,1,1,1,1
200-350,1,1,1,1,1,1,1,1
50-200,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1
died,1,1,1,1,1,1,1,1
Disease Number Affected:,2,,,,,,,
Number of Disease States in Affected Disease:,5,,,,,,,
TB State,uninfected,latent,active,disseminated,died,,,
uninfected,1,1,1,1,1,,,
latent,1,1,1,1,1,,,
active,1,1,1,1,1,,,
disseminated,1,1,1,1,1,,,
died,1,1,1,1,1,,,
